DBUID,empl.idx,pharm.idx,child.idx,health.idx,groc.idx,edupri.idx,edusec.idx,lib.idx,parks.idx,trans.idx,close,suppressed
24850085004,0.0,,,,,,,,,,0,0
24850085005,0.0,,,,,,,,,,0,0
24850085008,0.0003,,,,,,,,,,0,0
24850085009,0.0005,,,,,,,,,,0,0
24850085010,0.0008,,,,0.0285,,,,,,0,0
24850085011,0.0,,,,,,,,,,0,0
24850085012,0.0001,,,,,,,,,,0,0
24850086004,0.0007,,,,0.0308,,,,,,0,0
24850086008,0.0008,,,0.0,0.0291,,,,0.0106,,0,0
24850086009,0.0009,,,0.0,0.0388,,,,,,0,0
24850086013,0.0012,,,,0.1515,,,,,,0,0
24850086015,0.0009,,,0.0,0.0315,,,,0.0102,,0,0
24850086016,0.0009,,,0.0,0.0252,,,,0.0112,,0,0
24850086017,0.0008,,,0.0,,,,,0.0112,,0,0
24850087001,0.0008,,,0.0001,,,,,,,0,0
24850087004,0.0016,0.0076,0.0237,0.0001,0.0204,0.1853,0.1318,,,,0,0
24850087006,0.0017,0.0084,0.0259,0.0001,0.021,0.3363,0.2392,,,,0,0
24850087007,0.0018,0.0097,0.0338,0.0001,0.0237,0.2911,0.207,,,,0,0
24850087009,0.0015,0.0085,0.036,0.0001,0.0229,0.0992,0.0705,,,,0,0
24850087010,0.0018,0.009,0.0279,0.0001,0.021,0.3706,0.2636,,,,0,0
24850088001,0.0025,0.0177,0.0136,0.0001,0.0197,0.0462,0.0329,,,,0,0
24850088002,0.0021,0.0135,0.0115,0.0001,0.0169,0.0397,0.0283,,,,0,0
24850088003,0.0025,0.0318,0.014,0.0001,0.0247,0.0468,0.0333,,,,0,0
24850088004,0.0021,0.0218,0.0153,0.0001,0.0221,0.0514,0.0365,,,,0,0
24850088005,0.0025,0.0805,0.0129,0.0003,0.0399,0.044,0.0313,,,,0,0
24850088006,0.0019,0.0169,0.0201,0.0001,0.0228,0.0661,0.047,,,,0,0
24850088007,0.0015,0.0089,0.1218,0.0001,0.0495,0.0882,0.0627,,,,0,0
24850088008,0.0018,0.0118,0.053,0.0001,0.0317,0.1195,0.085,,,,0,0
24850089001,0.0013,0.0104,0.0081,0.0001,,0.0295,0.021,,,,0,0
24850089002,0.0016,0.0157,0.0091,0.0002,0.0163,0.0321,0.0228,,,,0,0
24850089003,0.0018,0.0304,0.0095,0.0002,0.0236,0.0336,0.0239,,,,0,0
24850089004,0.0025,0.0513,0.0146,0.0002,0.0314,0.0493,0.0351,,,,0,0
24850089005,0.0022,0.0617,0.011,0.0003,0.0417,0.0381,0.0271,,,,0,0
24850089006,0.0021,0.0283,0.0089,0.0003,0.0493,0.0318,0.0226,,0.0105,,0,0
24850089007,0.0023,0.0169,0.011,0.0002,0.0796,0.0381,0.0271,,0.0238,,0,0
24850089008,0.0028,0.0182,0.0131,0.0002,0.0992,0.0445,0.0317,,0.0272,,0,0
24850089009,0.0024,0.0128,0.0107,0.0002,0.0443,0.0373,0.0265,,0.0282,,0,0
24850089010,0.0024,0.0118,0.01,0.0002,0.0344,0.0352,0.025,,0.0274,,0,0
24850089011,0.0025,0.0124,0.0138,0.0001,0.0425,0.0528,0.0376,,0.0301,,0,0
24850089012,0.0025,0.0247,0.0114,0.0002,0.1176,0.0393,0.028,,0.0234,,0,0
24850089013,0.0017,0.0097,0.0259,0.0001,0.0213,0.1277,0.0908,,,,0,0
24850089014,0.0019,0.0122,0.0398,0.0001,0.0281,0.1764,0.1255,,,,0,0
24850090001,0.0,,,,,,,,,,0,0
24850090002,0.0,,,,,,,,,,0,0
24850090003,0.0,,,0.0,,,,,,,0,0
24850090004,0.003,,0.0075,0.0002,0.0149,0.0278,0.0197,,0.0355,,0,0
24850090005,0.0016,0.0084,0.016,0.0001,0.0237,0.0949,0.0675,,0.01,,0,0
24850090006,0.0016,,0.0127,0.0001,0.0193,0.0712,0.0506,,,,0,0
24850090007,0.0031,,0.0089,0.0002,0.0192,0.0318,0.0226,,0.0366,,0,0
