"Index","Facility_Name","Source_Facility_Type","ODCAF_Facility_Type","Provider","Unit","Street_No","Street_Name","Postal_Code","City","Prov_Terr","Source_Format_Address","CSD_Name","CSDUID","PRUID","Latitude","Longitude"
776,"biblio la source","affiliée au réseau biblio","library or archives","bibliotheque et archives nationales du québec",,8,"rue saint-rosaire","g0l3l0","montréal","qc","8, rue saint-rosaire","Saint-Hubert-de-Rivière-du-Loup","2412010","24",47.8157434,-69.1477673
777,"biblio-mobile à la résidence de la rive-nord",,"library or archives","city of repentigny",,739,"rue notre-dame",,"repentigny","qc","739 rue notre-dame, repentigny","Repentigny","2460013","24",45.75799275,-73.42758193
778,"biblio-mobile à la résidence havre du petit village",,"library or archives","city of repentigny",,177,"boulevard lacombe",,"repentigny","qc","177 boulevard lacombe, repentigny","Repentigny","2460013","24",45.74437163,-73.48024511
779,"biblio-mobile à la résidence le notre-dame",,"library or archives","city of repentigny",,505,"rue notre-dame",,"repentigny","qc","505 rue notre-dame, repentigny","Repentigny","2460013","24",45.74175305,-73.44341364
780,"biblio-mobile à la résidence lucien-goulet",,"library or archives","city of repentigny",,301,"boulevard ja paré",,"repentigny","qc","301 boulevard j.-a.-paré, repentigny","Repentigny","2460013","24",45.76781812,-73.47802898
781,"biblio-mobile à la résidence maurice-rivest",,"library or archives","city of repentigny",,674,"rue masson",,"repentigny","qc","674 rue masson, repentigny","Repentigny","2460013","24",45.75909332,-73.44048907
782,"biblio-mobile au chsld émile mc duff",,"library or archives","city of repentigny",,1440,"boulevard iberville",,"repentigny","qc","1440 boulevard iberville, repentigny","Repentigny","2460013","24",45.78811167,-73.40759859
783,"biblio-poche grande-côte","municipale","library or archives","bibliotheque et archives nationales du québec",,367,"rue godard","j7p3v2","montréal","qc","367, rue godard","Saint-Eustache","2472005","24",45.5796768,-73.8630896
784,"biblio-poche riviere-nord","municipale","library or archives","bibliotheque et archives nationales du québec",,706,"rue primeau","j7r7c6","montréal","qc","706, rue primeau","Saint-Eustache","2472005","24",45.576357,-73.9226222
787,"bibliothèque aliette-marchand","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.81332347,-71.26362717
788,"bibliothèque allard regional library",,"library or archives","government of manitoba",,104086,"pth 11","r0e1v0","saint georges","mb","104086 pth 11","Alexander","4601071","46",50.538771,-96.149597
789,"bibliothèque aurélien-doucet","bibliothèque","library or archives","city of gatineau",,207,"boulevard du-mont",,"gatineau","qc","207 boulevard du mont-bleu","Gatineau","2481017","24",45.460289,-75.766708
790,"bibliothèque benny","bibliothèque","library or archives","montréal",,6400,"de-monkland avenue","h4b1h3","montréal","qc","6400, avenue de monkland","Montréal","2466023","24",45.4653268,-73.627692
792,"bibliothèque bernard-lonergan","bibliothèque","library or archives","city of gatineau",,181,"rue joseph",,"gatineau","qc","181 rue joseph","Gatineau","2481017","24",45.590917,-75.411036
793,"bibliothèque bon-pasteur","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.90082465,-71.3088581
794,"bibliothèque bruno-sigmen",,"library or archives","ville de shawinigan",,1550,"rue 118e",,"shawinigan","qc","1550, 118e rue - tel : 819 537-4989","Shawinigan","2436033","24",46.51739952,-72.75459134
795,"bibliothèque canardière","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.83734052,-71.22261965
796,"bibliothèque champigny","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.77405734,-71.36912597
797,"bibliothèque charles-h.-blais","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.77956804,-71.25057683
798,"bibliothèque chrystine-brouillet","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.85278337,-71.35982287
800,"bibliothèque colette-b.-forget",,"library or archives","ville de shawinigan",,1375,"chemin principal",,"shawinigan","qc","1375, chemin principal - tel : 819 539-4479","Shawinigan","2436033","24",46.60252208,-72.81364166
801,"bibliothèque collège-des-jésuites","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.79506794,-71.24374718
802,"bibliothèque d'ahuntsic","bibliothèque","library or archives","montréal",,10300,"rue lajeunesse","h3l2e5","montréal","qc","10300, rue lajeunesse","Montréal","2466023","24",45.5539209,-73.6637745
804,"bibliothèque d'hochelaga","bibliothèque","library or archives","montréal",,1870,"rue davidson","h1w2y6","montréal","qc","1870, rue davidson","Montréal","2466023","24",45.5427901,-73.5455177
806,"bibliothèque de beaumont library",,"library or archives","government of alberta",,5700,"49 street","t4x1s7","beaumont","ab","5700 - 49 street","Lloydminster (Part)","4810039","48",53.2825798,-110.0067296
808,"bibliothèque de belleville",,"library or archives","ville de montréal",,10400,"de-belleville avenue","h1h4z7","montréal","qc","10400, avenue de belleville","Montréal","2466023","24",45.5819491,-73.6421957
812,"bibliothèque de cartierville",,"library or archives","ville de montréal",,5900,"rue de-salaberry","h4j1j8","montréal","qc","5900, rue de salaberry","Montréal","2466023","24",45.5271112,-73.7129921
813,"bibliothèque de l'île-bizard","bibliothèque","library or archives","montréal",,,"montée de l'église","h9c1g9","montréal","qc","500, montée de l'église","Montréal","2466023","24",45.489477,-73.8825461
815,"bibliothèque de l'université laval","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.78256106,-71.27384175
816,"bibliothèque de l'île-des-sœurs",,"library or archives","ville de montréal",,260,"rue elgar","h3e1c9","montréal","qc","260, rue elgar","Montréal","2466023","24",45.4571408,-73.5466571
817,"bibliothèque de la danse vincent-warren","library and/or archives","library or archives","canadian museums association",,4816,"rue rivard","h2j2n6","montréal","qc","4816 rue rivard montréal québec h2j 2n6 canada","Montréal","2466023","24",45.52638815,-73.58689285
818,"bibliothèque de la maison culturelle et communautaire de montréal-nord","bibliothèque","library or archives","montréal",,12002,"boulevard rolland","h1g3w1","montréal","qc","12002, boulevard rolland","Montréal","2466023","24",45.6163039,-73.6206732
821,"bibliothèque de la petite-patrie",,"library or archives","ville de montréal",,6707,"de-lorimier avenue","h2g2p8","montréal","qc","6707, avenue de lorimier","Montréal","2466023","24",45.5473848,-73.5982557
823,"bibliothèque de mercier","bibliothèque","library or archives","montréal",,8105,"rue hochelaga","h1l2k9","montréal","qc","8105, rue hochelaga","Montréal","2466023","24",45.5957371,-73.5233452
825,"bibliothèque de notre-dame-de-grâce","bibliothèque","library or archives","montréal",,3755,"rue botrel","h4a3g8","montréal","qc","3755, rue botrel","Montréal","2466023","24",45.47551,-73.614579
827,"bibliothèque de parc-extension","bibliothèque","library or archives","montréal",,421,"rue saint-roch","h3n1k2","montréal","qc","421, rue saint-roch","Montréal","2466023","24",45.5311737,-73.6284967
829,"bibliothèque de pierrefonds","bibliothèque","library or archives","montréal",,13555,"boulevard pierrefonds","h9a1a6","montréal","qc","13555, boulevard pierrefonds","Montréal","2466023","24",45.4951911,-73.8471715
831,"bibliothèque de pointe-au-père",,"library or archives","rimouski",,,,,"rimouski","qc",,"Rimouski","2410043","24",48.51113604,-68.45888759
832,"bibliothèque de pointe-aux-trembles","bibliothèque","library or archives","montréal",,14001,"rue notre-dame est","h1a1t9","montréal","qc","14001, rue notre-dame est","Montréal","2466023","24",45.6677173,-73.4944049
834,"bibliothèque de rivière-des-prairies","bibliothèque","library or archives","montréal",,9001,"boulevard perras","h1e3j7","montréal","qc","9001, boulevard perras","Montréal","2466023","24",45.6496356,-73.5788179
836,"bibliothèque de riviera","bibliothèque","library or archives","city of gatineau",,12,"rue de-picardie",,"gatineau","qc","12 rue de picardie","Gatineau","2481017","24",45.470419,-75.724156
837,"bibliothèque de rosemont","bibliothèque","library or archives","montréal",,3131,"boulevard rosemont","h1y1m4","montréal","qc","3131, boulevard rosemont","Montréal","2466023","24",45.5515175,-73.5820184
839,"bibliothèque de roxboro","bibliothèque","library or archives","montréal",,110,"rue cartier","h8y1g8","montréal","qc","110, rue cartier","Montréal","2466023","24",45.5041334,-73.8133091
841,"bibliothèque de saint-charles","bibliothèque","library or archives","montréal",,2333,"rue mullins","h3k3e3","montréal","qc","2333, rue mullins","Montréal","2466023","24",45.4788404,-73.5643984
843,"bibliothèque de saint-henri","bibliothèque","library or archives","montréal",,4707,"rue notre-dame ouest","h4c1s9","montréal","qc","4707, rue notre-dame ouest","Montréal","2466023","24",45.4726771,-73.588888
845,"bibliothèque de saint-léonard","bibliothèque","library or archives","montréal",,8420,"boulevard lacordaire","h1r3g5","montréal","qc","8420, boulevard lacordaire","Montréal","2466023","24",45.586646,-73.5971925
847,"bibliothèque de saint-michel","bibliothèque","library or archives","montréal",,7601,"rue françois","h2a3l6","montréal","qc","7601, rue françois-perrault","Montréal","2466023","24",45.562238,-73.6023914
849,"bibliothèque de saint-pierre","bibliothèque","library or archives","montréal",,183,"rue des érables","h8r1b1","montréal","qc","183, rue des érables","Montréal","2466023","24",45.445771,-73.651088
851,"bibliothèque de saint-sauveur","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.81150542,-71.23774504
852,"bibliothèque de salaberry","bibliothèque","library or archives","montréal",,4170,"rue de-salaberry","h4j1h1","montréal","qc","4170, rue de salaberry","Montréal","2466023","24",45.5347082,-73.703999
854,"bibliothèque denise-b.-trudel",,"library or archives","ville de shawinigan",,1596,"chemin de-saint-jean",,"saint-jean-des-piles","qc","1596, chemin de saint-jean-des-piles - tel : 819 538-5674","Shawinigan","2436033","24",46.69197754,-72.74049417
855,"bibliothèque des jeunes de montréal","arts et culture","library or archives","montréal",,1410,"rue pierce","h3h2k2","montréal","qc","1410 rue pierce","Montréal","2466023","24",45.494542,-73.578759
856,"bibliothèque des livres rares et collections spéciales -université de montréal",,"library or archives","canadian museums association",,3000,"rue jean brilliant","h3c3j7","montréal","qc","3000 rue jean-brillant -pavillon samuel-bronfman 4e étage montréal québec h3c 3j7 canada","Montréal","2466023","24",,
857,"bibliothèque docteur-jean-lorrain","bibliothèque","library or archives","city of gatineau",,20,"boulevard lorrain",,"gatineau","qc","20 boulevard lorrain","Gatineau","2481017","24",45.488821,-75.602571
858,"bibliothèque du boisé","bibliothèque","library or archives","montréal",,2727,"boulevard thimens","h4r1t4","montréal","qc","2727, boulevard thimens","Montréal","2466023","24",45.5028475,-73.7057204
862,"bibliothèque du haut-anjou",,"library or archives","ville de montréal",,7070,"rue jarry est","h1j1g4","montréal","qc","7070, rue jarry est","Montréal","2466023","24",45.6012889,-73.575989
865,"bibliothèque du plateau-mont-royal",,"library or archives","ville de montréal",,465,"du-mont avenue est","h2j1w3","montréal","qc","465, avenue du mont-royal est","Montréal","2466023","24",45.5248239,-73.5823694
866,"bibliothèque du secteur de rock forest","bibliothèque","library or archives","ville de sherbrooke",,968,"rue du-haut bois sud","j1h5h9","sherbrooke","qc","968 rue du haut-bois sud c.p. 610 sherbrooke (québec) j1h 5h9","Sherbrooke","2443027","24",45.3694566,-71.9894992
871,"bibliothèque du secteur de saint-élie","bibliothèque","library or archives","ville de sherbrooke",,4505,"chemin saint-roch nord",,"sherbrooke","qc","4505 chemin saint-roch nord","Sherbrooke","2443027","24",45.3926093,-72.0402192
874,"bibliothèque du vieux-saint-laurent","bibliothèque","library or archives","montréal",,1380,"rue de-l'église","h4l2h2","montréal","qc","1380, rue de l'église","Montréal","2466023","24",45.5126898,-73.6765622
876,"bibliothèque edmond-archambault",,"library or archives","city of repentigny",,231,"boulevard ja paré",,"repentigny","qc","231 boulevard j.-a.-paré, repentigny","Repentigny","2460013","24",45.76289555,-73.47688179
877,"bibliothèque et archives nationales du québec gatineau","library and/or archives","library or archives","canadian museums association",,855,"boulevard de-la-gappe","j8t8h9","gatineau","qc","855 boulevard de la gappe gatineau québec j8t 8h9 canada","Gatineau","2481017","24",45.48454715,-75.68195104
878,"bibliothèque et archives nationales du québec québec","historical society","library or archives","canadian museums association",,1055,"du-séminaire avenue","g1v4n1","québec","qc","1055 avenue du séminaire pavillon louis-jacques-casault campus de l'université laval cp 10450 succursale sainte-foy québec québec g1v 4n1 canada","Québec","2423027","24",,
879,"bibliothèque et archives nationales du québec rimouski","library and/or archives","library or archives","canadian museums association",,337,"rue moreault","g5l1p4","rimouski","qc","337 rue moreault rimouski québec g5l 1p4 canada","Rimouski","2410043","24",48.46111543,-68.51749227
880,"bibliothèque et archives nationales du québec rouyn-noranda","library and/or archives historical society","library or archives","canadian museums association",,27,"rue du-terminus ouest","j9x2p3","rouyn noranda","qc","27 rue du terminus ouest rouyn-noranda québec j9x 2p3 canada","Rouyn-Noranda","2486042","24",48.24164,-79.0202384
881,"bibliothèque et archives nationales du québec saguenay","library and/or archives historical society","library or archives","canadian museums association",,930,"rue jacques est","g7h7k9","saguenay","qc","c103 -930 rue jacques-cartier est saguenay québec g7h 7k9 canada","Saguenay","2494068","24",48.4233966,-71.0386988
882,"bibliothèque et archives nationales du québec sept-îles","library and/or archives historical society","library or archives","canadian museums association",,700,"boulevard laure","g4r1y1","sept îles","qc","700 boulevard laure bureau 190 sept-îles québec g4r 1y1 canada","Sept-Îles","2497007","24",50.2191211,-66.3828085
883,"bibliothèque et archives nationales du québec sherbrooke","library and/or archives","library or archives","canadian museums association",,225,"rue frontenac","j1h1k1","sherbrooke","qc","225 rue frontenac bureau 401 sherbrooke québec j1h 1k1 canada","Sherbrooke","2443027","24",45.4029295,-71.89612
884,"bibliothèque et archives nationales du québec trois-rivières","library and/or archives","library or archives","canadian museums association",,225,"rue des-forges","g9a2g7","trois rivières ","qc","225 rue des forges bureau 208 trois-rivières québec g9a 2g7 canada","Trois-Rivières","2437067","24",46.34040395,-72.54267288
886,,"arts et culture","library or archives","montréal",,1200,"atwater avenue","h3z1x4","westmount","qc","1200 avenue atwater","Westmount","2466032","24",45.488681,-73.584257
887,"bibliothèque félix-leclerc","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.85727664,-71.41928537
888,"bibliothèque fabien-larochelle",,"library or archives","ville de shawinigan",,550,"avenue de l'hôtel de ville ",,"shawinigan","qc","550, avenue de l'hôtel-de-ville - tel : 819 536-7218","Shawinigan","2436033","24",46.54127374,-72.74517926
889,"bibliothèque fernand-dumont","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.87831063,-71.15570611
892,"bibliothèque frontenac",,"library or archives","ville de montréal",,2550,"rue ontario","h2k1w7","montréal","qc","2550, rue ontario","Montréal","2466023","24",45.5330176,-73.5526127
893,"bibliothèque gabrielle-roy","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.81419627,-71.22597434
895,"bibliothèque georges-vanier","bibliothèque","library or archives","montréal",,2450,"rue workman","h3j1l8","montréal","qc","2450, rue workman (angle vinet)","Montréal","2466023","24",45.4835213,-73.5751332
898,"bibliothèque gisèle-bergeron","bibliothèque","library or archives","ville de sherbrooke",,81,"rue curé larocque","j1c0t2","sherbrooke","qc","81 rue du curé-larocque bureau 1 sherbrooke j1c 0t2","Sherbrooke","2443027","24",45.4741835,-71.9458174
899,"bibliothèque gisèle-m.-beaudoin",,"library or archives","ville de shawinigan",,1082,"chemin de-la-vigilance",,"shawinigan","qc","1082, chemin de la vigilance - tel : 819 538-5882","Shawinigan","2436033","24",46.61224852,-72.63128685
900,"bibliothèque guy-sanche","bibliothèque","library or archives","city of gatineau",,855,"boulevard de-la-gappe",,"gatineau","qc","855 boulevard de la gappe","Gatineau","2481017","24",45.48427,-75.682333
901,"bibliothèque hélène-b.-beauséjour",,"library or archives","ville de shawinigan",,650,"rue 8e",,"shawinigan","qc","650, 8e rue - tel : 819 538-5555","Shawinigan","2436033","24",46.61398601,-72.69406632
902,"bibliothèque henri-bourassa","bibliothèque","library or archives","montréal",,5400,"boulevard henri est","h1g2s9","montréal","qc","5400, boulevard henri-bourassa est","Montréal","2466023","24",45.6046707,-73.6251967
904,"bibliothèque interculturelle","bibliothèque","library or archives","montréal",,6767,"chemin de-la côte","h3s2t6","montréal","qc","6767, chemin de la côte-des-neiges","Montréal","2466023","24",45.5032432,-73.6369045
906,"bibliothèque jacqueline-de repentigny","bibliothèque","library or archives","montréal",,5955,"rue bannantyne","h4h1h6","montréal","qc","5955, rue bannantyne","Montréal","2466023","24",45.4482057,-73.5770269
909,"bibliothèque jean-corbeil","bibliothèque","library or archives","montréal",,7500,"goncourt avenue","h1k3x9","montréal","qc","7500, avenue goncourt","Montréal","2466023","24",45.6029584,-73.5584036
911,"bibliothèque jean-marie-caron","bibliothèque","library or archives","city of gatineau",,430,"rue du progrès s",,"gatineau","qc","430 rue du progrès","Gatineau","2481017","24",45.524533,-75.488038
912,"bibliothèque l'octogone","bibliothèque","library or archives","montréal",,1080,"dollard avenue","h8n2t9","montréal","qc","1080, avenue dollard","Montréal","2466023","24",45.4243396,-73.6234491
914,"bibliothèque langelier","bibliothèque","library or archives","montréal",,6473,"rue sherbrooke est","h1n1c5","montréal","qc","6473, rue sherbrooke est","Montréal","2466023","24",45.5817147,-73.5440686
918,"bibliothèque le prévost","bibliothèque","library or archives","montréal",,7355,"christophe avenue","h2r2s5","montréal","qc","7355, avenue christophe-colomb","Montréal","2466023","24",45.5438869,-73.6145768
920,"bibliothèque le tournesol","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.90734162,-71.37678957
921,"bibliothèque lebourgneuf","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.84224612,-71.3074704
922,"bibliothèque lennoxville","bibliothèque","library or archives","ville de sherbrooke",,101,"rue queen",,"sherbrooke","qc","101 rue queen sherbrooke jim 1j7","Sherbrooke","2443027","24",45.3663731,-71.8565721
923,"bibliothèque lisette-morin",,"library or archives","rimouski",,,,,"rimouski","qc",,"Rimouski","2410043","24",48.4520189,-68.52064397
924,"bibliothèque lucien-lalonde","bibliothèque","library or archives","city of gatineau",,225,"rue berri",,"gatineau","qc","225 rue berri","Gatineau","2481017","24",45.442477,-75.735515
925,"bibliothèque lucy-faris","bibliothèque","library or archives","city of gatineau",,115,"rue principale",,"gatineau","qc","115 rue principale","Gatineau","2481017","24",45.395104,-75.845073
926,"bibliothèque maison de la littérature","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.81288556,-71.21099937
927,"bibliothèque maison du citoyen","bibliothèque","library or archives","city of gatineau",,25,"rue laurier",,"gatineau","qc","25 rue laurier","Gatineau","2481017","24",45.428106,-75.711068
929,"bibliothèque maisonneuve",,"library or archives","ville de montréal",,4120,"rue ontario est","h1v1j9","montréal","qc","4120, rue ontario est","Montréal","2466023","24",45.5510555,-73.5407215
930,"bibliothèque mallaig community library",,"library or archives","government of alberta",,3110,"1 street e","t0a2k0","brooks","ab","3110 - 1 street e","Brooks","4802034","48",,
931,"bibliothèque manise-morin","bibliothèque","library or archives","city of gatineau",,36,"chemin de-montréal est",,"montréal","qc","36 chemin de montréal est","Gatineau","2481017","24",45.543919,-75.415683
934,"bibliothèque marie-uguay",,"library or archives","ville de montréal",,6052,"boulevard monk","h4e3h6","montréal","qc","6052, boulevard monk","Montréal","2466023","24",45.4577169,-73.5955531
936,"bibliothèque monique-corriveau","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.77011086,-71.2942481
937,"bibliothèque montcalm library",,"library or archives","government of manitoba",,113,"second ave","r0g2b0","saint-jean-baptiste","mb","113 second ave","Montcalm","4603030","46",49.263323,-97.341442
939,"bibliothèque mordecai-richler",,"library or archives","ville de montréal",,5434,"du-parc avenue","h2v4g7","montréal","qc","5434, avenue du parc","Montréal","2466023","24",45.5219052,-73.6015691
941,"bibliothèque municipale éva-senécal","bibliothèque","library or archives","ville de sherbrooke",,450,"rue marquette","j1h5h9","sherbrooke","qc","450 rue marquette c.p. 610 sherbrooke (québec) j1h 5h9","Sherbrooke","2443027","24",45.3998763,-71.897208
942,"bibliothèque nationale du québec","historical society","library or archives","canadian museums association",,2275,"rue holt","h2g3h1","montréal","qc","2275 rue holt montréal québec h2g 3h1 canada","Montréal","2466023","24",45.544012,-73.5844614
943,"bibliothèque neufchâtel","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.83521003,-71.35746972
946,"bibliothèque père-ambroise",,"library or archives","ville de montréal",,2093,"rue de-la-visitation","h2l3c9","montréal","qc","2093, rue de la visitation","Montréal","2466023","24",45.5227892,-73.5626701
948,"bibliothèque paul-aimé-paiement","bibliothèques","library or archives","québec city",,,,,"québec city","qc",,"Québec","2423027","24",46.86105497,-71.26883605
949,"bibliothèque philippe-panneton","lieu public - ville de laval","library or archives","city of laval",,,,"h7r5p8","laval","qc",,"Laval","2465005","24",,
